Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,"1,713,126",5767700.0,651565900,5332281936.0,"150,597,040",210.0,40975.0,62.0,"17,598,718",114.0,"18,004,655","22,931",2669262.0,0,629,620780.5023847377,0,4,13.656027710968921,0.06277989252127182
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,"3,486,739",674700.0,35223547,208339025.0,"156,380,351",188.0,40778.0,67.0,"10,422,430",111.0,"7,780,028","28,444",1118279.0,1,621,521262.2930756844,0,5,0.6436098998317552,0.03
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,"2,228,730",3025400.0,275154237,3369120610.0,"373,784,955",190.0,74333.0,136.0,"36,321,847",172.0,"5,022,621","5,639",5285340.0,0,667,901513.167916042,0,3,5.602974541800023,0.02240727619785459
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,"10,629,796",7189811.0,1078757968,14603725994.0,"3,351,188,582",394.0,1474799.0,264.0,"24,684,248",210.0,"190,260,277","203,384",11822942.0,0,1099,1848299.02911738,0,1,7.189418217039921,0.13
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,"3,670,188",16400.0,0,0.0,"112,763,851",182.0,12185.0,82.0,"17,660,624",105.0,"4,493,884","7,006",457017.0,1,594,180193.47138047137,0,5,0.0,0.0
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,"1,392,593",4202367.0,214943489,2938686633.0,"2,867,222,632",138.0,522042.0,86.0,"17,167,254",152.0,"138,529,362","50,982",4517131.0,1,797,841487.3751568381,0,11,4.381747533288353,0.013173559722758807
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,"4,120,760",0.0,29584940,534915313.0,"4,601,579,812",280.0,383478.0,168.0,"48,197,850",154.0,"65,447,476","57,372",9990302.0,0,728,1236481.8008241758,0,1,0.5942455281487948,0.0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,"1,439,495",3500000.0,338546668,3804584163.0,"2,112,581,620",160.0,17221.0,87.0,"33,245,595",53.0,"3,372,428","5,762",6063523.0,1,713,946815.0813464236,0,2,5.635760103769995,0.04240727619785459
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1.0,15.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,585,2825671.9982905984,0,6,0.0,0.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,"988,682",325800.0,121574500,974656200.0,"174,706,874",191.0,3823.0,78.0,"10,800,098",92.0,"1,005,626",842,666302.0,1,602,150625.5365448505,0,5,10.748710025149384,0.0696846846846847
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,"550,191",0.0,184500,2100000.0,"327,130,768",157.0,62312.0,60.0,"12,009,073",114.0,"23,155,471","21,172",963413.0,1,615,406634.8178861789,0,5,0.008397298958406236,0.0
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2.0,263767.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,2.0,0,0,854584.0,1,580,191646.77413793103,0,6,0.0,0.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800.0,197280692.0,92.0,40022524.0,"1,307,290",195300.0,45889000,360017000.0,"342,107,131",244.0,41344.0,138.0,"38,243,636",163.0,"1,354,692","1,219",450344.0,0,608,364533.2154605263,0,5,1.6243601293355532,0.01
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,"1,456,177",0.0,0,0.0,"174,491,415",153.0,90237.0,55.0,"3,001,826",109.0,"26,252,264","18,364",1963314.0,1,664,534919.3313253012,0,3,0.0,0.0
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,277.0,24445.0,12.0,6736502312.0,"16,785,489",3.0,1088,22234.0,,1.0,1057.0,,,,0,0,3288.0,0,1196,248.48244147157192,0,10,0.07481509896159308,0.0
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605.0,79944921.0,79.0,934302031.0,"4,294,166",11054500.0,521725116,7499234052.0,"2,042,145,659",94.0,92231.0,60.0,"5,633,435",83.0,"12,171,026","13,242",2765808.0,1,1030,898694.727184466,0,3,8.101538298959298,0.09826446960688559
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784.0,177932568.0,89.0,104673836.0,"2,484,083",139300.0,25348800,207317000.0,"268,893,710",221.0,129968.0,99.0,"37,988,531",134.0,"9,961,769","13,437",1210029.0,0,637,620774.568288854,0,4,0.5242779175348418,0.01
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,"1,514,837",2294429.0,419319161,5456156211.0,"2,667,285,437",207.0,667329.0,188.0,"21,788,568",150.0,"44,850,379","12,270",6973652.0,1,854,1473735.0046838408,0,9,4.335203868864807,0.015284955005509589
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,"569,377",941900.0,119740900,1225345800.0,"5,839,168",76.0,181.0,24.0,"5,054,005",33.0,"283,089",162,257661.0,0,608,150119.1792763158,0,5,13.425142404945754,0.25901143585119724
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,"9,101,589",2755903.0,1633970617,15405881843.0,"7,289,707,052",455.0,1777811.0,330.0,"12,907,852",189.0,"132,624,772","79,909",14967379.0,0,1386,2382261.569264069,0,3,4.665883463479912,0.29450508788159113
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,"2,749,668",3091732.0,652428798,7095564106.0,"1,063,591,802",158.0,400899.0,143.0,"13,718,632",146.0,"70,291,476","49,111",7559816.0,1,895,1190390.3139664803,0,8,6.660004275279572,0.11476511744127935
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,"1,825,761",209200.0,169144295,1379499000.0,"422,646,034",298.0,37208.0,167.0,"41,414,565",149.0,"10,362,898","10,848",1373085.0,1,643,852072.8942457231,0,4,2.517872104605599,0.16281578947368425
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417.0,10.0,655.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,604,2741018.9023178807,0,5,0.0,0.01
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc,2024-02-10,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,"437,980",1470500.0,485200392,6518604175.0,"1,213,175,656",159.0,309497.0,194.0,"40,725,482",177.0,"13,860,535","36,282",2100708.0,1,705,605249.6156028368,0,2,15.276749950281342,0.04855629003679979
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,239850720.0,1.0,2.0,67.0,148269610.0,,9453333.0,273236305,4306269694.0,,0.0,0.0,,,,0,0,854584.0,0,736,160831.7682875264,1,1,17.953957678534557,0.9599750623441397
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,"69,990",37621885.0,1636811753,22918660728.0,,1.0,0.0,1.0,6,1.0,0,0,633525.0,0,1332,5542.611861861862,1,5,3104.348607837719,0.9993595387287119
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,"14,661,425",7485966.0,2246991336,23712377029.0,"4,327,058,646",513.0,1510151.0,166.0,"5,783,693",128.0,"196,783,487","124,922",854584.0,1,1651,1881950.5445184736,0,7,7.63167402333819,0.14550850901288948
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,"48,757,673",7743800.0,281762094,6577639193.0,"2,166,611",33.0,284.0,19.0,"52,179",17.0,"86,458,847","2,234,137",2064420.0,0,3698,194922.354786371,1,12,9.125181061645812,0.9341642634216224
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,"3,080,503",0.0,0,0.0,"578,568,464",194.0,200230.0,117.0,"22,062,193",126.0,"10,106,573","7,689",1579980.0,0,678,871782.2477876106,0,3,0.0,0.0
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,"179,867,721","87,209",4474248.0,1,643,1560210.99688958,0,4,0.0,0.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,0.0,0.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,611,2692437.4664484453,0,5,0.0,0.0
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,"4,907,193",212500.0,48327004,390081328.0,"38,798,822",36.0,2188.0,3.0,"347,997",26.0,"130,743",592,191867.0,0,654,190968.496941896,0,4,3.1233142363537905,0.0
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,"2,566,846",2114363.0,369150956,3932956380.0,"3,031,114,430",225.0,486952.0,180.0,"19,469,488",188.0,"40,418,532","27,555",6447136.0,0,902,743210.8414634146,0,7,5.866790165485892,0.018618288338842923
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,"1,495,758",1031447.0,196985853,2231749390.0,"1,745,168,821",163.0,378114.0,113.0,"16,295,286",112.0,"20,228,317","5,331",7477917.0,0,867,865230.6343713956,0,9,2.9750511641287405,0.02495927400847309
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,67.0,62123098.0,"923,733",0.0,0,0.0,"384,716,227",221.0,151990.0,42.0,"658,517",47.0,"31,032,977","23,005",854584.0,0,664,801224.0813253012,0,3,0.0,0.0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7.0,1519.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,1.0,"121,250,721","83,632",3692067.0,0,629,762190.6279809221,0,4,0.0,0.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,"837,616",0.0,27811667,378313942.0,"243,895,569",149.0,0.0,58.0,"26,516,005",146.0,"21,453,034","30,180",1707213.0,1,643,485114.3421461897,0,4,1.212822534988248,0.0
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,"1,504,385",396560.0,49060857,597513595.0,"4,016,801,205",215.0,605841.0,133.0,"42,675,181",120.0,"253,538,985","72,429",10517831.0,0,937,827252.0352187833,0,6,0.7708508494721124,0.08
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,"1,222,012",1237229.0,311252391,3281790327.0,"140,623,676",123.0,265291.0,40.0,"2,225,409",88.0,"64,456,799","20,518",3945184.0,1,945,804231.4571428571,0,6,4.318152394328744,0.21350153048475762
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,"27,240,268",10342366.0,393814740,5861939942.0,"2,428,166,573",549.0,573733.0,584.0,"5,749,770",121.0,"373,294,159","844,198",44842636.0,0,2442,1257663.434070434,1,5,1.9086718599785333,0.7200927407645673
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,"251,373",251200.0,71078500,443104700.0,"148,058,631",247.0,3400.0,67.0,"11,523,335",125.0,"840,442","2,592",285858.0,0,608,352364.5476973684,0,5,2.0682858884661197,0.03
Cupid  Twin Ver. (FIFTY FIFTY)  Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,27827.0,5784546.0,41.0,22280037.0,"334,523",14348249.0,948225544,12196985599.0,,2.0,672.0,4.0,"35,737",9.0,"270,610","3,170",854584.0,1,1013,168776.5192497532,1,4,71.33966032116103,0.9793853046294777
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,"4,324,989",728093.0,54258768,1051836430.0,"1,425,853,925",285.0,935190.0,207.0,"6,479,623",168.0,"139,926,990","31,235",10973120.0,1,1238,1339442.182552504,0,8,0.6343129698525437,0.11087915007576785
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,"3,701,289",2557115.0,285329503,2578518632.0,"1,205,538,057",163.0,259255.0,77.0,"3,413,707",80.0,"28,924,685","14,634",8681350.0,0,1007,1118987.1588877854,0,4,2.2883144351520115,0.1272836689987914
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,"959,175",3648759.0,857220853,5469808282.0,"298,259,422",91.0,36285.0,63.0,"10,874,749",110.0,"6,151,267","9,160",2682219.0,0,853,1169639.2778429077,0,9,5.482405176963082,0.10484022801910733
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,"1,026,097",0.0,188200,1200000.0,"110,446,147",199.0,2359.0,73.0,"13,686,074",98.0,"360,163",758,47115.0,1,588,100874.89965986396,0,6,0.020231160566258045,0.0
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,"1,575,378",93500.0,35970610,386610043.0,"3,129,834,452",174.0,564640.0,146.0,"28,246,184",127.0,"25,843,941","3,694",2389957.0,0,798,618580.2894736842,0,11,0.783202674508095,0.01
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417.0,9.0,85.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,623,2657424.4253611555,0,5,0.0,0.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,"921,044",13872768.0,390207653,5684815935.0,"19,218,089",78.0,92638.0,41.0,"3,467,570",36.0,"7,444,354","7,188",2227494.0,1,1070,284980.83364485984,1,2,18.64305049364313,0.8988025385954432
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,"61,799,279",799338.0,78304409,1143297071.0,"569,548,901",179.0,121234.0,145.0,"1,977,014",118.0,"266,603,596","2,359,900",19622551.0,0,3289,531192.8868957129,1,1,0.6543995112531493,0.8656198468342485
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,17168.0,62516401.0,86.0,53604746.0,"1,846,535",0.0,0,0.0,"174,375,427",65.0,6408.0,20.0,"428,378",31.0,"3,156,727","4,843",654482.0,1,625,269494.912,0,4,0.0,0.0
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,249.0,8585.0,25.0,2457026781.0,,190.0,36666,393580.0,,0.0,12.0,,,,0,0,1881.0,0,1070,97.44953271028038,0,2,3.7745511738529998,0.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,163876.0,130963116.0,77.0,902742581.0,"8,099,187",599.0,48035,2857920.0,"750,030,685",316.0,1107265.0,112.0,"11,937,930",146.0,"52,073,859","41,487",3521951.0,0,1239,1123235.126715093,0,8,0.00205356325318539,0.0
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734.0,316378.0,148037882.0,80.0,8013997219.0,"45,770,887",2270315.0,194420058,2320856331.0,"2,294,804,623",465.0,402829.0,512.0,"2,710,931",115.0,"733,565,655","651,557",1146246.0,0,3296,1186122.1887135922,0,1,0.5936515738667849,0.16126460369847653
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346.0,42.0,16861.0,13.0,2432265978.0,"8,162,101",0.0,0,0.0,,0.0,53.0,,,,0,0,200.0,0,1092,50.68315018315018,0,1,0.0,0.0
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720.0,590392.0,165544011.0,83.0,833807130.0,"10,093,211",2882064.0,337322563,3501177394.0,"2,258,085,924",859.0,1695240.0,564.0,"11,701,129",184.0,"489,299,762","319,634",28994660.0,0,2239,1912223.6355515856,0,11,0.8177514825291655,0.04237636145534549
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,228295.0,64806723.0,80.0,193982443.0,"2,023,998",423714.0,148085419,1268862678.0,"444,033,037",152.0,952186.0,58.0,"2,134,791",66.0,"77,382,416","28,694",6205060.0,1,1140,1173350.804385965,0,12,0.9485973264342494,0.09176551673720836
Dona Felicidade,Dona Felicidade,Patati Patat,2024-06-04,QZNJW2423715,58,190.0,239850720.0,2.0,41206.0,67.0,52480069.0,"82,092",0.0,0,0.0,,0.0,0.0,1.0,"1,657",,0,0,854584.0,0,590,160831.7682875264,0,6,0.0,0.0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190.0,1655575417.0,1.0,3.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,626,2644689.164536741,0,4,0.0,0.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789.0,210583.0,95974138.0,74.0,254051906.0,"3,364,206",2379787.0,683088623,7945975878.0,"1,524,133,775",203.0,718849.0,63.0,"1,616,564",167.0,"111,398,743","71,335",10192485.0,0,1211,1285116.2584640794,1,9,5.105763341598985,0.8536410912190964
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,239850720.0,2.0,135.0,9.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,"420,235,997","885,123",854584.0,0,589,160831.7682875264,0,6,0.0,0.0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,2.0,801.0,67.0,222076.0,"5,430",5013500.0,605320683,8811416708.0,,0.0,0.0,,,,0,0,854584.0,0,746,1.8552278820375327,1,12,6362033.724187725,0.9399750623441396
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,2483.0,21046278.0,81.0,111310770.0,"1,724,693",56600.0,61038623,393973528.0,"32,059,104",40.0,709.0,7.0,"544,322",14.0,"45,515",100,63283.0,0,612,113936.32843137256,0,5,5.650064333316306,0.013333333333333332
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630.0,173358.0,67603671.0,79.0,1516863120.0,"8,870,768",4506600.0,549886060,6470937272.0,"934,894,575",124.0,77120.0,44.0,"14,871,714",63.0,"111,324,744","39,123",3393920.0,1,1350,1342215.2814814814,0,5,3.5711758997500027,0.22157078239962033
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812.0,4.0,98.0,67.0,148269610.0,,0.0,0,0.0,,1.0,0.0,,,,"390,345,308","399,793",854584.0,1,657,304307.17199391173,0,3,0.0,0.0
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,182994.0,19203258.0,68.0,1141904909.0,"8,766,235",6129450.0,856216952,18216656774.0,"2,952,879,912",138.0,191634.0,53.0,"3,481,756",45.0,"98,290,873","46,039",22563407.0,0,1435,407266.26341463416,1,2,31.170110210274665,0.9069985613559257
CARNIVAL,CARNIVAL,$,2024-02-08,QZ7XS2400012,67,179.6,466887055.0,53842.0,103935623.0,84.0,27688666.0,"449,112",0.0,0,0.0,"33,817,299",42.0,53333.0,11.0,"199,915",29.0,"1,359,484","11,303",1982000.0,1,707,660377.729844413,0,2,0.0,0.0
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537.0,190202.0,99546318.0,82.0,220538045.0,"3,153,793",266430.0,152410048,1284413960.0,"426,461,749",214.0,655242.0,73.0,"1,304,067",122.0,"57,350,590","61,270",4873832.0,0,1134,1652333.806878307,0,12,0.6854790303553853,0.03839526957490345
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245.0,114560.0,97542546.0,82.0,144741616.0,"2,761,964",1443103.0,498822693,3998086216.0,"1,384,310,160",168.0,275119.0,108.0,"10,920,686",111.0,"39,374,594","19,921",4476509.0,0,917,972432.1101417666,0,7,4.483565595750755,0.014395889034293516
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567.0,252.0,21930.0,6.0,2038459981.0,"6,076,902",0.0,0,0.0,,2.0,29.0,,,,"1,456",0,903.0,0,1049,44.391801715919925,0,3,0.0,0.0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078.0,486278.0,112416489.0,82.0,1272898075.0,"14,947,520",1416295.0,513334446,5518429969.0,"4,899,313,022",459.0,1414326.0,170.0,"11,862,378",95.0,"122,247,640","160,431",17848778.0,0,2026,1478865.2902270483,0,6,1.841821246278553,0.09099210536231168
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421.0,97.0,488602.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,2.0,0,0,854584.0,0,643,3181201.276827372,0,4,0.0,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,100130.0,74836321.0,74.0,776436101.0,"12,951,756",4210895.0,797017650,11936401096.0,"457,987,382",110.0,165670.0,106.0,"4,971,379",92.0,"48,806,666","10,225",2237762.0,0,1100,860855.9181818182,1,1,12.605214743828038,0.688923950024656
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909.0,38.0,15023.0,4.0,1999374091.0,"5,708,577",0.0,0,0.0,,0.0,59.0,,,,0,0,1412.0,0,1042,7.59021113243762,0,3,0.0,0.0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713.0,127393.0,18652312.0,67.0,3203314695.0,"41,487,213",5757883.0,187301054,1981431049.0,"939,714,925",63.0,49780.0,64.0,"397,418",100.0,"181,784,010","2,022,074",8856633.0,0,2499,404359.6290516207,1,3,1.9608524632024944,0.88722359289938
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,99381.0,57394938.0,75.0,878892413.0,"4,425,283",796603.0,127651887,1669065906.0,"1,522,934,425",101.0,73481.0,42.0,"5,734,172",81.0,"55,857,743","15,528",2283747.0,0,1004,1004477.7848605578,0,4,1.6550054809009265,0.04032491700025705
Laxed  Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,239850720.0,10230.0,1142937.0,67.0,12489728.0,"339,414",42900000.0,919945708,12221514692.0,,0.0,0.0,,,,"5,678,792",0,854584.0,0,2092,160831.7682875264,1,4,50.954671476680694,0.9893595387287119
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,199828.0,55464762.0,78.0,219666692.0,"2,332,307",731797.0,130560533,1254944697.0,"918,145,630",155.0,42082.0,41.0,"1,790,031",76.0,"411,656","3,414",3093667.0,1,959,722119.8435870699,0,6,1.8121606699644428,0.18248378314096278
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,11028.0,144854768.0,90.0,19402457.0,"997,411",284.0,0,0.0,"260,377,114",185.0,1008.0,53.0,"20,737,850",59.0,"521,322",698,388625.0,0,608,278636.03782894736,0,5,0.0,0.0
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758.0,78554.0,69319589.0,78.0,1102289596.0,"8,953,293",457111.0,15048444,248168852.0,"1,174,053,183",138.0,149584.0,84.0,"8,850,320",131.0,"68,022,934","16,511",3488226.0,1,1057,969140.7360454116,0,2,0.24226207643746223,0.03
