Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
One in a Million,One in a Million,Bebe Rexha,2023-08-04,USWB12303800,"3,734",22.2,109868838.0,17147.0,65679098.0,70.0,6256696.0,"55,646",2428.0,385969,7034216.0,,48.0,52099.0,42.0,"866,250",36.0,"3,490,056",227,408957.0,0,895,122758.4782122905,0,8,0.06402375836519034,0.0
Playing Games,Playing Games,Summer Walker,2019-08-23,USUM71917221,"3,737",22.2,177369022.0,26786.0,5711358.0,58.0,200783046.0,"1,614,839",76025.0,12315439,75387907.0,"85,920,589",35.0,100358.0,8.0,"558,639",29.0,"26,303,941","44,361",1548061.0,1,2337,75896.0299529311,0,8,0.42503423498025356,0.0
Often,Ultimate R&B 2014,The Weeknd,2014-01-01,USUG11401323,"3,728",22.2,982399328.0,142822.0,40628124.0,73.0,578225770.0,"3,493,215",60212.0,29558322,191313816.0,"156,782,991",47.0,1312.0,26.0,"235,234",1.0,"322,074,779","197,934",2317956.0,1,4397,223424.9097111667,0,1,0.19474139522747985,0.0
Balano da ,Balanï¿½ï¿½o da ,Matheus Fernandes,2022-02-24,BCDE52200008,"3,719",22.2,237867475.0,19268.0,14221320.0,61.0,302341579.0,"1,218,262",0.0,0,0.0,"745,025,834",27.0,5145.0,24.0,"378,419",10.0,0,0,151448.0,0,1421,167394.42294159043,0,2,0.0,0.0
Better Things,Better Things - Single,aespa,2023-08-18,KRA302300242,"3,738",22.2,72446983.0,7731.0,5625254.0,60.0,100786648.0,"982,757",29345.0,39545448,325517526.0,"7,512,353",20.0,1825.0,5.0,"86,890",20.0,"202,223",132,106424.0,0,881,82232.67082860386,0,8,4.4931825733421835,0.0
CCC - Remix,CCC (Remix) - Single,Michelle Maciel,2023-09-01,UYB282379019,"3,715",22.2,127818826.0,8847.0,5073881.0,67.0,79764064.0,"303,155",0.0,0,0.0,"2,518,170",5.0,0.0,7.0,"629,291",3.0,"5,634,765","1,101",229633.0,0,867,147426.55824682815,0,9,0.0,0.0
Carnival,Carnival Pack - EP,Kanye West,2024-02-08,QZA742422174,"3,711",22.2,465320426.0,324.0,228188.0,67.0,148269610.0,,0.0,0,0.0,,26.0,1.0,,,,0,0,854584.0,0,707,658161.8472418671,0,2,0.0,0.0
Swag Se Swagat,Tiger Zinda Hai (Original),Neha Bhasin,2017-12-12,INY091700034,"3,716",22.2,22317486.0,4244.0,2598110.0,50.0,1179253796.0,"5,477,479",249200.0,2535364,48439256.0,"24,970,879",12.0,941.0,,,,403,0,389397.0,0,2956,7549.893775372125,0,12,2.1704619341774456,0.0
SEVILLA,SEVILLA,Thrife,2022-08-12,SE6XW2288884,"3,725",22.2,26054526.0,23652.0,1011837.0,41.0,1500755.0,"20,564",1585725.0,76687884,769574589.0,,1.0,8.0,1.0,"2,681",1.0,0,0,298281.0,1,1252,20810.32428115016,1,8,29.537077721656587,0.9951278401219175
Chana Tera Shukriya,Jogiya Koe,Tanveer Anjum,2023-07-15,DGA062354084,"3,717",22.2,9015.0,4.0,95.0,6.0,148269610.0,,1200000.0,2363999,55049957.0,,0.0,0.0,,,,0,0,212.0,0,915,9.852459016393444,0,7,6105.807120674357,0.0
Caramelo - Remix,Caramelo (Remix),Leoo Remix,2020-10-01,QZNJV2032699,"3,733",22.2,144767.0,82.0,2477.0,67.0,697719336.0,"3,167,472",0.0,0,0.0,"171,565,650",0.0,0.0,,,,0,0,854584.0,0,1932,74.93115942028986,0,10,0.0,0.0
GHOST!,GHOST!,phonk.me,2022-12-02,QZTB22273485,"3,713",22.2,127080399.0,24672.0,15850206.0,67.0,62472711.0,"883,285",0.0,0,0.0,,7.0,0.0,5.0,"124,957",,"423,039",354,311493.0,0,1140,111474.03421052633,0,12,0.0,0.0
